代码,名称,"最新收盘价(元,CNY)","总市值(亿元,CNY)","流通市值(亿元,CNY)",交易状态,最新收盘价日期,上市日期,省份,证监会行业,Wind行业,证券类型,上市板,上市交易所
000001.SZ,平安银行,13.54,"2,324.8737","2,324.85141",正常交易,2019-04-11,1991-04-03,广东省,CSRC货币金融服务,Wind银行,A股,主板,深圳证券交易所
000002.SZ,万科A,31.84,"3,545.9326","3,093.31014",正常交易,2019-04-11,1991-01-29,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000004.SZ,国农科技,24.91,20.9186,20.67858,正常交易,2019-04-11,1991-01-14,广东省,CSRC医药制造业,Wind制药、生物科技与生命科学,A股,主板,深圳证券交易所
000005.SZ,世纪星源,3.83,40.5420,40.51934,正常交易,2019-04-11,1990-12-10,广东省,CSRC生态保护和环境治理业,Wind商业和专业服务,A股,主板,深圳证券交易所
000006.SZ,深振业A,6.87,92.7447,92.59291,正常交易,2019-04-11,1992-04-27,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000007.SZ,全新好,7.38,25.5679,22.80037,正常交易,2019-04-11,1992-04-13,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000008.SZ,神州高铁,4.84,134.5905,125.79761,正常交易,2019-04-11,1992-05-07,北京,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物,A股,主板,深圳证券交易所
000009.SZ,中国宝安,6.59,141.6418,139.69410,正常交易,2019-04-11,1991-06-25,广东省,CSRC综合,Wind资本货物,A股,主板,深圳证券交易所
000010.SZ,美丽生态,3.76,30.8265,19.63364,正常交易,2019-04-11,1995-10-27,广东省,CSRC土木工程建筑业,Wind资本货物,A股,主板,深圳证券交易所
000011.SZ,深物业A,11.92,66.4656,20.96283,正常交易,2019-04-11,1992-03-30,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000012.SZ,南玻A,5.58,129.4784,99.05071,正常交易,2019-04-11,1992-02-28,广东省,CSRC非金属矿物制品业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000014.SZ,沙河股份,12.25,24.7089,24.70889,正常交易,2019-04-11,1992-06-02,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000016.SZ,深康佳A,5.31,104.6405,84.77810,正常交易,2019-04-11,1992-03-27,广东省,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装,A股,主板,深圳证券交易所
000017.SZ,深中华A,5.48,21.1740,16.60336,正常交易,2019-04-11,1992-03-31,广东省,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind耐用消费品与服装,A股,主板,深圳证券交易所
000018.SZ,神州长城,2.90,44.8503,28.87196,正常交易,2019-04-11,1992-06-16,广东省,CSRC建筑装饰和其他建筑业,Wind资本货物,A股,主板,深圳证券交易所
000019.SZ,深粮控股,8.66,97.1441,36.02167,正常交易,2019-04-11,1992-10-12,广东省,CSRC批发业,Wind食品、饮料与烟草,A股,主板,深圳证券交易所
000020.SZ,深华发A,13.18,28.1815,23.87760,正常交易,2019-04-11,1992-04-28,广东省,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装,A股,主板,深圳证券交易所
000021.SZ,深科技,9.30,136.8271,136.64742,正常交易,2019-04-11,1994-02-02,广东省,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备,A股,主板,深圳证券交易所
000023.SZ,深天地A,15.72,21.8125,21.81248,正常交易,2019-04-11,1993-04-29,广东省,CSRC非金属矿物制品业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000025.SZ,特力A,35.25,97.5691,95.48576,正常交易,2019-04-11,1993-06-21,广东省,CSRC批发业,Wind零售业,A股,主板,深圳证券交易所
000026.SZ,飞亚达A,8.78,35.7563,31.31970,正常交易,2019-04-11,1993-06-03,广东省,CSRC零售业,Wind耐用消费品与服装,A股,主板,深圳证券交易所
000027.SZ,深圳能源,6.36,252.1417,252.14167,正常交易,2019-04-11,1993-09-03,广东省,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ,A股,主板,深圳证券交易所
000028.SZ,国药一致,48.88,196.3740,150.42544,正常交易,2019-04-11,1993-08-09,广东省,CSRC批发业,Wind医疗保健设备与服务,A股,主板,深圳证券交易所
000029.SZ,深深房A,11.17,105.4735,99.59842,连续停牌超过3天,2019-04-11,1993-09-15,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000030.SZ,富奥股份,5.45,97.9274,95.40564,正常交易,2019-04-11,1993-09-29,吉林省,CSRC汽车制造业,Wind汽车与汽车零部件,A股,主板,深圳证券交易所
000031.SZ,大悦城,6.85,268.9221,124.24001,正常交易,2019-04-11,1993-10-08,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000032.SZ,深桑达A,9.77,40.3716,40.18241,正常交易,2019-04-11,1993-10-28,广东省,CSRC批发业,Wind技术硬件与设备,A股,主板,深圳证券交易所
000034.SZ,神州数码,16.31,106.6789,79.82945,正常交易,2019-04-11,1994-05-09,广东省,CSRC批发业,Wind技术硬件与设备,A股,主板,深圳证券交易所
000035.SZ,中国天楹,5.17,126.0827,66.23233,正常交易,2019-04-11,1994-04-08,江苏省,CSRC生态保护和环境治理业,Wind商业和专业服务,A股,主板,深圳证券交易所
000036.SZ,华联控股,7.90,90.1775,89.77113,正常交易,2019-04-11,1994-06-17,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000037.SZ,深南电A,13.65,57.0560,46.25903,正常交易,2019-04-11,1994-07-01,广东省,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ,A股,主板,深圳证券交易所
000038.SZ,深大通,13.56,70.8886,26.43358,正常交易,2019-04-11,1994-08-08,广东省,CSRC商务服务业,Wind媒体Ⅱ,A股,主板,深圳证券交易所
000039.SZ,中集集团,15.30,352.7650,193.96913,正常交易,2019-04-11,1994-04-08,广东省,CSRC金属制品业,Wind资本货物,A股,主板,深圳证券交易所
000040.SZ,东旭蓝天,9.62,143.0373,102.00215,正常交易,2019-04-11,1994-08-08,广东省,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ,A股,主板,深圳证券交易所
000042.SZ,中洲控股,13.41,89.1539,88.78115,正常交易,2019-04-11,1994-09-21,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000043.SZ,中航善达,9.29,61.9607,61.94755,正常交易,2019-04-11,1994-09-28,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000045.SZ,深纺织A,7.88,38.3085,36.01291,正常交易,2019-04-11,1994-08-15,广东省,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备,A股,主板,深圳证券交易所
000046.SZ,泛海控股,7.89,409.9802,408.32394,正常交易,2019-04-11,1994-09-12,北京,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000048.SZ,*ST康达,23.71,92.6513,91.37651,正常交易,2019-04-11,1994-11-01,广东省,CSRC农副食品加工业,Wind食品、饮料与烟草,A股,主板,深圳证券交易所
000049.SZ,德赛电池,34.66,71.1375,71.13748,正常交易,2019-04-11,1995-03-20,广东省,CSRC电气机械及器材制造业,Wind资本货物,A股,主板,深圳证券交易所
000050.SZ,深天马A,16.08,329.3382,292.63310,正常交易,2019-04-11,1995-03-15,广东省,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备,A股,主板,深圳证券交易所
000055.SZ,方大集团,7.90,72.5031,53.58443,正常交易,2019-04-11,1996-04-15,广东省,CSRC金属制品业,Wind资本货物,A股,主板,深圳证券交易所
000056.SZ,皇庭国际,6.31,64.7838,57.02557,正常交易,2019-04-11,1996-07-08,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000058.SZ,深赛格,7.09,76.4214,38.14492,正常交易,2019-04-11,1996-12-26,广东省,CSRC商务服务业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000059.SZ,华锦股份,7.36,117.7190,117.71872,正常交易,2019-04-11,1997-01-30,辽宁省,CSRC石油加工、炼焦及核燃料加工业,Wind能源Ⅱ,A股,主板,深圳证券交易所
000060.SZ,中金岭南,5.55,198.1175,198.03655,正常交易,2019-04-11,1997-01-23,广东省,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ,A股,主板,深圳证券交易所
000061.SZ,农产品,6.20,105.2118,105.09031,正常交易,2019-04-11,1997-01-10,广东省,CSRC商务服务业,Wind食品与主要用品零售Ⅱ,A股,主板,深圳证券交易所
000062.SZ,深圳华强,23.51,169.5816,169.37658,正常交易,2019-04-11,1997-01-30,广东省,CSRC批发业,Wind技术硬件与设备,A股,主板,深圳证券交易所
000063.SZ,中兴通讯,30.39,"1,202.9849","1,043.46142",正常交易,2019-04-11,1997-11-18,广东省,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备,A股,主板,深圳证券交易所
000065.SZ,北方国际,13.62,104.8066,85.66212,正常交易,2019-04-11,1998-06-05,北京,CSRC土木工程建筑业,Wind资本货物,A股,主板,深圳证券交易所
000066.SZ,中国长城,9.95,292.1485,247.82637,正常交易,2019-04-11,1997-06-26,广东省,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备,A股,主板,深圳证券交易所
000068.SZ,华控赛格,5.83,58.6889,58.68895,正常交易,2019-04-11,1997-06-11,广东省,CSRC计算机、通信和其他电子设备制造业,Wind商业和专业服务,A股,主板,深圳证券交易所
000069.SZ,华侨城A,8.80,721.9592,615.78356,正常交易,2019-04-11,1997-09-10,广东省,CSRC房地产业,Wind消费者服务Ⅱ,A股,主板,深圳证券交易所
000070.SZ,特发信息,14.08,88.2809,84.52317,正常交易,2019-04-11,2000-05-11,广东省,CSRC电气机械及器材制造业,Wind技术硬件与设备,A股,主板,深圳证券交易所
000078.SZ,海王生物,5.23,144.4831,97.10304,正常交易,2019-04-11,1998-12-18,广东省,CSRC零售业,Wind医疗保健设备与服务,A股,主板,深圳证券交易所
000088.SZ,盐田港,6.76,131.2927,131.29272,正常交易,2019-04-11,1997-07-28,广东省,CSRC道路运输业,Wind运输,A股,主板,深圳证券交易所
000089.SZ,深圳机场,9.17,188.0556,188.05556,正常交易,2019-04-11,1998-04-20,广东省,CSRC航空运输业,Wind运输,A股,主板,深圳证券交易所
000090.SZ,天健集团,7.98,114.6999,114.69263,正常交易,2019-04-11,1999-07-21,广东省,CSRC土木工程建筑业,Wind资本货物,A股,主板,深圳证券交易所
000096.SZ,广聚能源,11.24,59.3472,57.41932,正常交易,2019-04-11,2000-07-24,广东省,CSRC批发业,Wind能源Ⅱ,A股,主板,深圳证券交易所
000099.SZ,中信海直,8.28,50.1826,50.18263,正常交易,2019-04-11,2000-07-31,广东省,CSRC航空运输业,Wind运输,A股,主板,深圳证券交易所
000100.SZ,TCL集团,3.91,529.7913,499.84833,正常交易,2019-04-11,2004-01-30,广东省,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装,A股,主板,深圳证券交易所
000150.SZ,宜华健康,12.53,78.5539,72.13613,正常交易,2019-04-11,2000-08-07,广东省,CSRC卫生,Wind医疗保健设备与服务,A股,主板,深圳证券交易所
000151.SZ,中成股份,15.75,46.6169,41.98067,正常交易,2019-04-11,2000-09-06,北京,CSRC批发业,Wind资本货物,A股,主板,深圳证券交易所
000153.SZ,丰原药业,7.20,22.4742,22.46236,正常交易,2019-04-11,2000-09-20,安徽省,CSRC医药制造业,Wind制药、生物科技与生命科学,A股,主板,深圳证券交易所
000155.SZ,川能动力,4.99,63.3730,46.76628,正常交易,2019-04-11,2000-09-26,四川省,CSRC化学原料及化学制品制造业,Wind公用事业Ⅱ,A股,主板,深圳证券交易所
000156.SZ,华数传媒,11.71,167.8455,149.92258,正常交易,2019-04-11,2000-09-06,浙江省,CSRC广播、电视、电影和影视录音制作业,Wind媒体Ⅱ,A股,主板,深圳证券交易所
000157.SZ,中联重科,5.41,405.2299,340.20080,正常交易,2019-04-11,2000-10-12,湖南省,CSRC专用设备制造业,Wind资本货物,A股,主板,深圳证券交易所
000158.SZ,常山北明,6.42,106.1146,104.27280,正常交易,2019-04-11,2000-07-24,河北省,CSRC纺织业,Wind耐用消费品与服装,A股,主板,深圳证券交易所
000159.SZ,国际实业,12.54,60.2780,60.27802,正常交易,2019-04-11,2000-09-26,新疆维吾尔自治区,CSRC批发业,Wind能源Ⅱ,A股,主板,深圳证券交易所
000166.SZ,申万宏源,5.56,"1,252.9985","1,252.91343",正常交易,2019-04-11,2015-01-26,新疆维吾尔自治区,CSRC资本市场服务,Wind多元金融,A股,主板,深圳证券交易所
000301.SZ,东方盛虹,6.39,257.4565,77.84531,正常交易,2019-04-11,2000-05-29,江苏省,CSRC化学纤维制造业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000333.SZ,美的集团,52.44,"3,456.7143","3,382.50796",正常交易,2019-04-11,2013-09-18,广东省,CSRC电气机械及器材制造业,Wind耐用消费品与服装,A股,主板,深圳证券交易所
000338.SZ,潍柴动力,13.20,"1,025.6179",560.18676,正常交易,2019-04-11,2007-04-30,山东省,CSRC汽车制造业,Wind资本货物,A股,主板,深圳证券交易所
000400.SZ,许继电气,11.34,114.3443,114.32841,正常交易,2019-04-11,1997-04-18,河南省,CSRC电气机械及器材制造业,Wind资本货物,A股,主板,深圳证券交易所
000401.SZ,冀东水泥,18.42,248.2137,248.15747,正常交易,2019-04-11,1996-06-14,河北省,CSRC非金属矿物制品业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000402.SZ,金融街,9.17,274.0849,273.95978,正常交易,2019-04-11,1996-06-26,北京,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000403.SZ,振兴生化,27.65,75.3677,75.03417,正常交易,2019-04-11,1996-06-28,山西省,CSRC医药制造业,Wind制药、生物科技与生命科学,A股,主板,深圳证券交易所
000404.SZ,长虹华意,5.09,35.4262,35.35701,正常交易,2019-04-11,1996-06-19,江西省,CSRC通用设备制造业,Wind资本货物,A股,主板,深圳证券交易所
000407.SZ,胜利股份,4.88,42.9481,36.38685,正常交易,2019-04-11,1996-07-03,山东省,CSRC燃气生产和供应业,Wind公用事业Ⅱ,A股,主板,深圳证券交易所
000408.SZ,藏格控股,12.06,240.4498,53.86392,正常交易,2019-04-11,1996-06-28,青海省,CSRC化学原料及化学制品制造业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000409.SZ,*ST地矿,6.83,34.8966,27.70461,正常交易,2019-04-11,1996-06-27,山东省,CSRC综合,Wind资本货物,A股,主板,深圳证券交易所
000410.SZ,沈阳机床,8.06,61.6970,59.67216,正常交易,2019-04-11,1996-07-18,辽宁省,CSRC通用设备制造业,Wind资本货物,A股,主板,深圳证券交易所
000411.SZ,英特集团,14.39,29.8520,29.83066,正常交易,2019-04-11,1996-07-16,浙江省,CSRC批发业,Wind医疗保健设备与服务,A股,主板,深圳证券交易所
000413.SZ,东旭光电,6.06,340.3628,294.76781,正常交易,2019-04-11,1996-09-25,河北省,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备,A股,主板,深圳证券交易所
000415.SZ,渤海租赁,4.78,295.6201,169.58857,正常交易,2019-04-11,1996-07-16,新疆维吾尔自治区,CSRC租赁业,Wind多元金融,A股,主板,深圳证券交易所
000416.SZ,民生控股,6.12,32.5505,32.53644,正常交易,2019-04-11,1996-07-19,山东省,CSRC其他金融业,Wind多元金融,A股,主板,深圳证券交易所
000417.SZ,合肥百货,5.77,44.9993,44.94988,正常交易,2019-04-11,1996-08-12,安徽省,CSRC零售业,Wind零售业,A股,主板,深圳证券交易所
000418.SZ,小天鹅A,62.42,368.5923,274.24047,正常交易,2019-04-11,1997-03-28,江苏省,CSRC电气机械及器材制造业,Wind耐用消费品与服装,A股,主板,深圳证券交易所
000419.SZ,通程控股,5.38,29.2447,29.22900,正常交易,2019-04-11,1996-08-16,湖南省,CSRC零售业,Wind零售业,A股,主板,深圳证券交易所
000420.SZ,吉林化纤,2.78,54.7856,46.23086,正常交易,2019-04-11,1996-08-02,吉林省,CSRC化学纤维制造业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000421.SZ,南京公用,5.62,32.1828,32.18276,正常交易,2019-04-11,1996-08-06,江苏省,CSRC燃气生产和供应业,Wind公用事业Ⅱ,A股,主板,深圳证券交易所
000422.SZ,*ST宜化,4.97,44.6240,44.62131,正常交易,2019-04-11,1996-08-15,湖北省,CSRC化学原料及化学制品制造业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000423.SZ,东阿阿胶,49.40,323.0866,323.01045,正常交易,2019-04-11,1996-07-29,山东省,CSRC医药制造业,Wind制药、生物科技与生命科学,A股,主板,深圳证券交易所
000425.SZ,徐工机械,4.96,388.5500,346.88072,正常交易,2019-04-11,1996-08-28,江苏省,CSRC专用设备制造业,Wind资本货物,A股,主板,深圳证券交易所
000426.SZ,兴业矿业,6.80,127.0580,90.47100,正常交易,2019-04-11,1996-08-28,内蒙古自治区,CSRC有色金属矿采选业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000428.SZ,华天酒店,3.40,34.6435,34.64207,正常交易,2019-04-11,1996-08-08,湖南省,CSRC住宿业,Wind消费者服务Ⅱ,A股,主板,深圳证券交易所
000429.SZ,粤高速A,9.16,181.2827,42.94994,正常交易,2019-04-11,1998-02-20,广东省,CSRC道路运输业,Wind运输,A股,主板,深圳证券交易所
000430.SZ,张家界,6.84,27.6895,22.69093,正常交易,2019-04-11,1996-08-29,湖南省,CSRC公共设施管理业,Wind消费者服务Ⅱ,A股,主板,深圳证券交易所
000488.SZ,晨鸣纸业,7.21,171.6465,119.54211,正常交易,2019-04-11,2000-11-20,山东省,CSRC造纸及纸制品业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000498.SZ,山东路桥,6.20,69.4486,69.44498,正常交易,2019-04-11,1997-06-09,山东省,CSRC土木工程建筑业,Wind资本货物,A股,主板,深圳证券交易所
000501.SZ,鄂武商A,12.29,94.5092,93.29282,正常交易,2019-04-11,1992-11-20,湖北省,CSRC零售业,Wind零售业,A股,主板,深圳证券交易所
000502.SZ,绿景控股,9.80,18.1123,17.96819,正常交易,2019-04-11,1992-11-23,广东省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000503.SZ,国新健康,26.11,234.6825,234.68248,正常交易,2019-04-11,1992-11-30,海南省,CSRC互联网和相关服务,Wind软件与服务,A股,主板,深圳证券交易所
000504.SZ,南华生物,16.08,50.1011,49.95625,正常交易,2019-04-11,1992-12-08,湖南省,CSRC科技推广和应用服务业,Wind制药、生物科技与生命科学,A股,主板,深圳证券交易所
000505.SZ,京粮控股,6.80,44.2175,27.61669,正常交易,2019-04-11,1992-12-21,海南省,CSRC农副食品加工业,Wind食品、饮料与烟草,A股,主板,深圳证券交易所
000506.SZ,中润资源,4.29,39.8549,39.83998,正常交易,2019-04-11,1993-03-12,山东省,CSRC有色金属矿采选业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000507.SZ,珠海港,7.90,62.3737,60.99936,正常交易,2019-04-11,1993-03-26,广东省,CSRC水上运输业,Wind运输,A股,主板,深圳证券交易所
000509.SZ,华塑控股,3.47,28.6443,28.64415,正常交易,2019-04-11,1993-05-07,四川省,CSRC橡胶和塑料制品业,Wind资本货物,A股,主板,深圳证券交易所
000510.SZ,金路集团,5.59,34.0533,30.71588,正常交易,2019-04-11,1993-05-07,四川省,CSRC化学原料及化学制品制造业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000513.SZ,丽珠集团,35.13,227.4494,160.97272,正常交易,2019-04-11,1993-10-28,广东省,CSRC医药制造业,Wind制药、生物科技与生命科学,A股,主板,深圳证券交易所
000514.SZ,渝开发,7.50,63.2828,63.28282,正常交易,2019-04-11,1993-07-12,重庆,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000516.SZ,国际医学,6.81,134.2285,131.61368,正常交易,2019-04-11,1993-08-09,陕西省,CSRC卫生,Wind零售业,A股,主板,深圳证券交易所
000517.SZ,荣安地产,3.40,108.2534,103.21532,正常交易,2019-04-11,1993-08-06,浙江省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000518.SZ,四环生物,5.03,51.7867,51.78565,正常交易,2019-04-11,1993-09-08,江苏省,CSRC医药制造业,Wind制药、生物科技与生命科学,A股,主板,深圳证券交易所
000519.SZ,中兵红箭,8.76,121.9882,64.24592,正常交易,2019-04-11,1993-10-08,湖南省,CSRC专用设备制造业,Wind资本货物,A股,主板,深圳证券交易所
000520.SZ,长航凤凰,4.14,41.9003,41.90026,正常交易,2019-04-11,1993-10-25,湖北省,CSRC水上运输业,Wind运输,A股,主板,深圳证券交易所
000521.SZ,长虹美菱,4.21,40.9963,33.78819,正常交易,2019-04-11,1993-10-18,安徽省,CSRC电气机械及器材制造业,Wind耐用消费品与服装,A股,主板,深圳证券交易所
000523.SZ,广州浪奇,5.85,36.7107,36.67773,正常交易,2019-04-11,1993-11-08,广东省,CSRC化学原料及化学制品制造业,Wind家庭与个人用品,A股,主板,深圳证券交易所
000524.SZ,岭南控股,8.63,57.8390,23.50552,正常交易,2019-04-11,1993-11-18,广东省,CSRC住宿业,Wind消费者服务Ⅱ,A股,主板,深圳证券交易所
000525.SZ,红太阳,16.24,94.3175,93.28238,正常交易,2019-04-11,1993-10-28,江苏省,CSRC化学原料及化学制品制造业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000526.SZ,紫光学大,26.52,25.5109,25.51094,正常交易,2019-04-11,1993-11-01,福建省,CSRC教育,Wind消费者服务Ⅱ,A股,主板,深圳证券交易所
000528.SZ,柳工,8.09,119.2545,118.32699,正常交易,2019-04-11,1993-11-18,广西壮族自治区,CSRC专用设备制造业,Wind资本货物,A股,主板,深圳证券交易所
000529.SZ,广弘控股,6.81,39.7561,38.80913,正常交易,2019-04-11,1993-11-18,广东省,CSRC农副食品加工业,Wind资本货物,A股,主板,深圳证券交易所
000530.SZ,大冷股份,4.89,35.2735,29.22988,正常交易,2019-04-11,1993-12-08,辽宁省,CSRC通用设备制造业,Wind资本货物,A股,主板,深圳证券交易所
000531.SZ,穗恒运A,8.28,56.7249,56.72486,正常交易,2019-04-11,1994-01-06,广东省,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ,A股,主板,深圳证券交易所
000532.SZ,华金资本,12.18,41.9855,41.83628,正常交易,2019-04-11,1994-01-03,广东省,CSRC综合,Wind技术硬件与设备,A股,主板,深圳证券交易所
000533.SZ,顺钠股份,3.94,27.2182,26.98515,正常交易,2019-04-11,1994-01-03,广东省,CSRC电气机械及器材制造业,Wind耐用消费品与服装,A股,主板,深圳证券交易所
000534.SZ,万泽股份,10.72,52.7194,52.67437,正常交易,2019-04-11,1994-01-10,广东省,CSRC房地产业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000536.SZ,华映科技,3.37,93.2153,67.51268,正常交易,2019-04-11,1993-11-26,福建省,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备,A股,主板,深圳证券交易所
000537.SZ,广宇发展,9.96,185.5071,40.43220,正常交易,2019-04-11,1993-12-10,天津,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000538.SZ,云南白药,90.80,945.5909,945.58433,正常交易,2019-04-11,1993-12-15,云南省,CSRC医药制造业,Wind制药、生物科技与生命科学,A股,主板,深圳证券交易所
000539.SZ,粤电力A,4.82,233.8516,123.09832,正常交易,2019-04-11,1993-11-26,广东省,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ,A股,主板,深圳证券交易所
000540.SZ,中天金融,5.00,350.2627,325.27653,正常交易,2019-04-11,1994-02-02,贵州省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000541.SZ,佛山照明,6.27,78.0208,67.22939,正常交易,2019-04-11,1993-11-23,广东省,CSRC电气机械及器材制造业,Wind耐用消费品与服装,A股,主板,深圳证券交易所
000543.SZ,皖能电力,5.49,98.2927,98.29274,正常交易,2019-04-11,1993-12-20,安徽省,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ,A股,主板,深圳证券交易所
000544.SZ,中原环保,6.55,63.8418,34.16809,正常交易,2019-04-11,1993-12-08,河南省,CSRC水的生产和供应业,Wind公用事业Ⅱ,A股,主板,深圳证券交易所
000545.SZ,金浦钛业,4.12,40.6575,39.52741,正常交易,2019-04-11,1993-12-15,吉林省,CSRC化学原料及化学制品制造业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000546.SZ,金圆股份,10.22,73.0367,67.55668,正常交易,2019-04-11,1993-12-15,吉林省,CSRC生态保护和环境治理业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000547.SZ,航天发展,10.60,170.2020,118.12312,正常交易,2019-04-11,1993-11-30,福建省,CSRC计算机、通信和其他电子设备制造业,Wind资本货物,A股,主板,深圳证券交易所
000548.SZ,湖南投资,5.39,26.9077,26.90694,正常交易,2019-04-11,1993-12-20,湖南省,CSRC道路运输业,Wind运输,A股,主板,深圳证券交易所
000550.SZ,江铃汽车,32.00,200.1559,165.89669,正常交易,2019-04-11,1993-12-01,江西省,CSRC汽车制造业,Wind汽车与汽车零部件,A股,主板,深圳证券交易所
000551.SZ,创元科技,8.16,32.6466,32.64656,正常交易,2019-04-11,1994-01-06,江苏省,CSRC综合,Wind资本货物,A股,主板,深圳证券交易所
000552.SZ,靖远煤电,3.30,75.4700,51.39548,正常交易,2019-04-11,1994-01-06,甘肃省,CSRC煤炭开采和洗选业,Wind能源Ⅱ,A股,主板,深圳证券交易所
000553.SZ,安道麦A,12.63,298.4534,59.18629,正常交易,2019-04-11,1993-12-03,湖北省,CSRC化学原料及化学制品制造业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000554.SZ,泰山石油,6.91,33.2228,25.05910,正常交易,2019-04-11,1993-12-15,山东省,CSRC批发业,Wind能源Ⅱ,A股,主板,深圳证券交易所
000555.SZ,神州信息,12.87,123.9936,120.32347,正常交易,2019-04-11,1994-04-08,广东省,CSRC软件和信息技术服务业,Wind软件与服务,A股,主板,深圳证券交易所
000557.SZ,西部创业,5.06,73.7938,29.61341,正常交易,2019-04-11,1994-06-17,宁夏回族自治区,CSRC铁路运输业,Wind运输,A股,主板,深圳证券交易所
000558.SZ,莱茵体育,4.47,57.6283,57.58759,正常交易,2019-04-11,1994-05-09,浙江省,CSRC房地产业,Wind消费者服务Ⅱ,A股,主板,深圳证券交易所
000559.SZ,万向钱潮,7.14,196.5756,196.57487,正常交易,2019-04-11,1994-01-10,浙江省,CSRC汽车制造业,Wind汽车与汽车零部件,A股,主板,深圳证券交易所
000560.SZ,我爱我家,7.21,169.8316,123.14720,正常交易,2019-04-11,1994-02-02,云南省,CSRC房地产业,Wind房地产Ⅱ,A股,主板,深圳证券交易所
000561.SZ,烽火电子,7.88,47.6559,46.80656,正常交易,2019-04-11,1994-05-09,陕西省,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备,A股,主板,深圳证券交易所
000563.SZ,陕国投A,5.37,212.8675,212.86749,正常交易,2019-04-11,1994-01-10,陕西省,CSRC其他金融业,Wind多元金融,A股,主板,深圳证券交易所
000564.SZ,供销大集,3.90,234.3053,73.66078,正常交易,2019-04-11,1994-01-10,陕西省,CSRC零售业,Wind零售业,A股,主板,深圳证券交易所
000565.SZ,渝三峡A,7.36,31.9124,31.91239,正常交易,2019-04-11,1994-04-08,重庆,CSRC化学原料及化学制品制造业,Wind材料Ⅱ,A股,主板,深圳证券交易所
000566.SZ,海南海药,7.88,105.2752,94.83552,正常交易,2019-04-11,1994-05-25,海南省,CSRC医药制造业,Wind制药、生物科技与生命科学,A股,主板,深圳证券交易所
