代码,名称,"最新收盘价(元,CNY)","总市值(亿元,CNY)","流通市值(亿元,CNY)",交易状态,最新收盘价日期,上市日期,省份,证监会行业,Wind行业,证券类型,上市板,上市交易所
600966.SH,博汇纸业,3.83,51.2011,51.20114,正常交易,2019-04-11,2004-06-08,山东省,CSRC造纸及纸制品业,Wind材料Ⅱ,A股,主板,上海证券交易所
600967.SH,内蒙一机,12.23,206.6420,117.46893,正常交易,2019-04-11,2004-05-18,内蒙古自治区,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物,A股,主板,上海证券交易所
600969.SH,郴电国际,8.56,31.6763,31.67632,正常交易,2019-04-11,2004-04-08,湖南省,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ,A股,主板,上海证券交易所
600970.SH,中材国际,8.34,145.0805,144.87034,正常交易,2019-04-11,2005-04-12,江苏省,CSRC土木工程建筑业,Wind资本货物,A股,主板,上海证券交易所
600971.SH,恒源煤电,8.60,86.0004,86.00035,正常交易,2019-04-11,2004-08-17,安徽省,CSRC煤炭开采和洗选业,Wind能源Ⅱ,A股,主板,上海证券交易所
600973.SH,宝胜股份,4.63,56.5838,56.58381,正常交易,2019-04-11,2004-08-02,江苏省,CSRC电气机械及器材制造业,Wind资本货物,A股,主板,上海证券交易所
600975.SH,新五丰,14.07,91.8315,91.83145,正常交易,2019-04-11,2004-06-09,湖南省,CSRC畜牧业,Wind食品、饮料与烟草,A股,主板,上海证券交易所
600976.SH,健民集团,19.64,30.1275,30.10785,正常交易,2019-04-11,2004-04-19,湖北省,CSRC零售业,Wind制药、生物科技与生命科学,A股,主板,上海证券交易所
600977.SH,中国电影,18.26,340.9142,103.16900,正常交易,2019-04-11,2016-08-09,北京,CSRC广播、电视、电影和影视录音制作业,Wind媒体Ⅱ,A股,主板,上海证券交易所
600978.SH,宜华生活,4.90,72.6606,72.66063,正常交易,2019-04-11,2004-08-24,广东省,CSRC家具制造业,Wind耐用消费品与服装,A股,主板,上海证券交易所
600979.SH,广安爱众,5.12,48.5321,36.75608,正常交易,2019-04-11,2004-09-06,四川省,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ,A股,主板,上海证券交易所
600980.SH,北矿科技,12.59,19.5409,19.16322,正常交易,2019-04-11,2004-05-12,北京,CSRC计算机、通信和其他电子设备制造业,Wind材料Ⅱ,A股,主板,上海证券交易所
600981.SH,汇鸿集团,5.95,133.4248,43.48570,正常交易,2019-04-11,2004-06-30,江苏省,CSRC批发业,Wind零售业,A股,主板,上海证券交易所
600982.SH,宁波热电,4.03,30.1013,30.10128,正常交易,2019-04-11,2004-07-06,浙江省,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ,A股,主板,上海证券交易所
600983.SH,惠而浦,7.15,54.8004,38.09520,正常交易,2019-04-11,2004-07-27,安徽省,CSRC电气机械及器材制造业,Wind耐用消费品与服装,A股,主板,上海证券交易所
600984.SH,建设机械,7.01,58.0283,55.10669,正常交易,2019-04-11,2004-07-07,陕西省,CSRC专用设备制造业,Wind资本货物,A股,主板,上海证券交易所
600985.SH,淮北矿业,12.82,278.5032,33.69798,正常交易,2019-04-11,2004-04-28,安徽省,CSRC煤炭开采和洗选业,Wind能源Ⅱ,A股,主板,上海证券交易所
600986.SH,科达股份,6.10,80.8600,77.58272,正常交易,2019-04-11,2004-04-26,山东省,CSRC互联网和相关服务,Wind软件与服务,A股,主板,上海证券交易所
600987.SH,航民股份,11.23,83.7076,71.34531,正常交易,2019-04-11,2004-08-09,浙江省,CSRC纺织业,Wind耐用消费品与服装,A股,主板,上海证券交易所
