stock_code,stock_name,stock_price,stock_state,ceiling_price,floor_price,stock_priv
000418.SZ,小天鹅A,62.42,正常交易,68.662,56.178,5
000419.SZ,通程控股,5.38,正常交易,5.918,4.842,0
000420.SZ,吉林化纤,2.78,正常交易,3.058,2.502,3
000421.SZ,南京公用,5.62,正常交易,6.182,5.058,3
000422.SZ,*ST宜化,4.97,正常交易,5.467,4.473,0
000423.SZ,东阿阿胶,49.4,正常交易,54.34,44.46,4
000425.SZ,徐工机械,4.96,正常交易,5.456,4.464,3
000426.SZ,兴业矿业,6.8,正常交易,7.48,6.12,1
000428.SZ,华天酒店,3.4,正常交易,3.74,3.06,5
000429.SZ,粤高速A,9.16,正常交易,10.076,8.244,5
000430.SZ,张家界,6.84,正常交易,7.524,6.156,5
000488.SZ,晨鸣纸业,7.21,正常交易,7.931,6.489,1
